,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
0,bangalore,Petrol,Hatchback,"1,20,000",Manual,3,Maruti,Maruti Celerio,2015,3979,VXI,400000.0,2015,Third Party insurance,Petrol,5.0,120000,KA51,998 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks",23.1,998.0,67.04bhp@6000rpm,90,White,K10B Engine,998.0,90Nm@3500rpm,3,MPFi,No,No,3715,1635,1565,2425,835kg,5 Speed ,FWD,Power,4.7,Ventilated Disc,Drum,"Tubeless, Radial",5,355
1,bangalore,Petrol,SUV,"32,706",Manual,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,811000.0,2018,Comprehensive,Petrol,5.0,32706,KA05,1497 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.0,1497.0,121.31bhp@6500rpm,150,White,Ti-VCT Petrol Engine,1497.0,150Nm@4500rpm,3,Direct Injection,No,No,3998,1765,1647,2519,1242Kg,5 Speed,FWD,Power,5.3,Ventilated Disc,Drum,"Tubeless,Radial",4,355
2,bangalore,Petrol,Hatchback,"11,949",Manual,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,585000.0,2018,Comprehensive,Petrol,5.0,11949,KA03,1199 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",23.84,1199.0,84bhp@6000rpm,114,Red,Revotron Engine,1199.0,114Nm@3500rpm,3,MPFi,No,No,3746,1647,1535,2400,1012kg,5 Speed,FWD,Power,5.0,Disc,Drum,Tubeless,5,355
3,bangalore,Petrol,Sedan,"17,794",Manual,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,462000.0,2014,Comprehensive,Petrol,5.0,17794,KA53,1197 cc,Manual,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",19.1,1197.0,81.86bhp@6000rpm,113,Others,Kappa VTVT Petrol Engine,1197.0,113.75Nm@4000rpm,4,Direct Injection,No,No,3995,1660,1520,2425,1180,5 Speed ,FWD ,Power,4.7,Disc ,Drum,"Tubeless,Radial",4,355
4,bangalore,Diesel,SUV,"60,000",Manual,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,790000.0,2015,Third Party insurance,Diesel,5.0,60000,KA04,1248 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",23.65,1248.0,88.5bhp@4000rpm,200,Gray,DDiS 200 Diesel Engine,1248.0,200Nm@1750rpm,4,,Yes,No,4300,1785,1595,2600,1230Kg,5 Speed,FWD,Power,5.0,Ventilated Disc,Solid Disc,"Tubeless,Radial",5,355
5,bangalore,Diesel,SUV,"20,000",Manual,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,1900000.0,2020,Third Party insurance,Diesel,5.0,20000,KA04,1956 cc,Manual,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.1,1956.0,170bhp@3750rpm,350,Others,2.0-Litre 4-Cyl Multijet II Engine,1956.0,350Nm@1750-2500rpm,4,CRDI,Yes,No,4395,1818,1640,2636,1551 kgs,6 Speed,4X2,power,5.0,Disc,Discs,"Radial, Tubless",5,355
6,bangalore,Petrol,Hatchback,"37,772",Manual,1,Datsun,Datsun GO,2017,5223,T Option BSIV,345000.0,2017,Comprehensive,Petrol,5.0,37772,KA05,1198 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Radio",20.63,1198.0,67bhp@5000rpm,104,Grey,Petrol Engine,1198.0,104Nm@4000rpm,3,Electronic Injection System,No,No,3785,1635,1490,2450,1070,5 Speed,FWD,Power,4.6, Disc,Drum,Tubeless,5,355
7,bangalore,Petrol,SUV,"30,000",Automatic,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,1200000.0,2021,Third Party insurance,Petrol,5.0,30000,KA51,998 cc,Automatic,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.15,998.0,118.35bhp@6000rpm,171,Others,,998.0,171.6Nm@1500-4000rpm,3,GDi,Yes,,3995,1770,1605,2500,1440,7-Speed,FWD,Power,5.0,Disc,Drum,Radial,5,350
8,bangalore,Petrol,Sedan,"37,000",Automatic,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,960000.0,2018,Comprehensive,Petrol,5.0,37000,KA03,1462 cc,Automatic,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.28,1462.0,103.25bhp@6000rpm,138,Maroon,k15B VVT Engine,1462.0,138Nm@4400rpm,4,MPFI,No,No,4490,1730,1485,2650,1105,4 Speed,FWD,Power,5.4,Ventilated Disc,Drum,"Tubeless, Radial",4,355
9,bangalore,Petrol,Hatchback,"11,949",Manual,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,585000.0,2018,Comprehensive,Petrol,5.0,11949,KA03,1199 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",23.84,1199.0,84bhp@6000rpm,114,Red,Revotron Engine,1199.0,114Nm@3500rpm,3,MPFi,No,No,3746,1647,1535,2400,1012kg,5 Speed,FWD,Power,5.0,Disc,Drum,Tubeless,5,355
